# Likhi roman -> bengali overrides
# Format: roman<TAB>bengali  (roman lowercased at load; one pair per line)
# Generated from the user 500-word dictionary. Order = candidate order
# for a roman key with several spellings (first line ranks first).
# Rebuild: python tools/corpus_builder/build_lexicon.py

ami	আমি
swagotom	স্বাগতম
biday	বিদায়
shokal	সকাল
dupur	দুপুর
bikal	বিকাল
shondha	সন্ধ্যা
shondhya	সন্ধ্যা
rat	রাত
raat	রাত
ghor	ঘর
bari	বাড়ি
shohor	শহর
desh	দেশ
bidesh	বিদেশ
bondhu	বন্ধু
bhai	ভাই
bon	বোন
baba	বাবা
ma	মা
maa	মা
khabar	খাবার
pani	পানি
jol	জল
chobi	ছবি
gaan	গান
boi	বই
khata	খাতা
kolom	কলম
taka	টাকা
poisha	পয়সা
khoroch	খরচ
shomoy	সময়
din	দিন
mash	মাস
bochor	বছর
minute	মিনিট
second	সেকেন্ড
ghonta	ঘণ্টা
ghanta	ঘণ্টা
shob	সব
onek	অনেক
alpo	অল্প
beshi	বেশি
kom	কম
shobcheye	সবচেয়ে
baje	বাজে
thikache	ঠিকআছে
thikase	ঠিকআছে
accha	আচ্ছা
achha	আচ্ছা
thikthak	ঠিকঠাক
shobthik	সবঠিক
shanti	শান্তি
anondo	আনন্দ
kosto	কষ্ট
dukkho	দুঃখ
bap	বাপ
beta	বেটা
chele	ছেলে
meye	মেয়ে
lok	লোক
manush	মানুষ
jonogon	জনগণ
shorkar	সরকার
deshi	দেশি
bideshi	বিদেশি
jayga	জায়গা
sthan	স্থান
rasta	রাস্তা
ghat	ঘাট
nodi	নদী
pahar	পাহাড়
akash	আকাশ
batas	বাতাস
jhor	ঝড়
alo	আলো
ondhokar	অন্ধকার
shurjo	সূর্য
chand	চাঁদ
tara	তারা
shotti	সত্যি
mitha	মিথ্যা
shothik	সঠিক
bhul	ভুল
shubho	শুভ
kamona	কামনা
prothom	প্রথম
ditiyo	দ্বিতীয়
tritiyo	তৃতীয়
khub	খুব
ekta	একটা
duta	দুটো
tintat	তিনটা
char	চার
pach	পাঁচ
choy	ছয়
shat	সাত
aat	আট
noy	নয়
dosh	দশ
dari	দাঁড়ি
daari	দাঁড়ি
daree	দাঁড়ি
danri	দাঁড়ি
darhi	দাঁড়ি
dandi	দাঁড়ি
